Date,Price
2011-04-01,24391.78
2011-04-03,6878.1
2011-04-04,25073.02
2011-04-05,28353.83
2011-04-06,17279.35
2011-04-07,18229
2011-04-08,23299.14
2011-04-10,9363.88
2011-04-11,22110.31
2011-04-12,25124.25
2011-04-13,23898.2
2011-04-14,35295.58
2011-04-15,28327.131
2011-04-17,12704.3
2011-04-18,32185.61
2011-04-19,23837.65
2011-04-20,28239.39
2011-04-21,31198.6
2011-04-26,30585.54
2011-04-27,25590.56
2011-04-28,21241.9
2011-05-01,6964.66
2011-05-03,19617.86
2011-05-04,27462.3
2011-05-05,28750.65
2011-05-06,35714.58
2011-05-08,18808.92
2011-05-09,26060.43
2011-05-10,45564.12
2011-05-11,33240.36
2011-05-12,59911.97
2011-05-13,30744.07
2011-05-15,9924.28
2011-05-16,25279.77
2011-05-17,53603.83
2011-05-18,34337.29
2011-05-19,34348.75
2011-05-20,26256.52
2011-05-22,24205.37
2011-05-23,30739.55
2011-05-24,37028.91
2011-05-25,24152.28
2011-05-26,33208.59
2011-05-27,28232.19
2011-05-29,7208.3
2011-05-31,21967.96
2011-06-01,20191.2
2011-06-02,32502.01
2011-06-03,16751
2011-06-05,25520.35
2011-06-06,16791.39
2011-06-07,37644.3
2011-06-08,42940.91
2011-06-09,45515.75
2011-06-10,22540.66
2011-06-12,12483.86
2011-06-13,20372.93
2011-06-14,40211.93
2011-06-15,46139.18
2011-06-16,34131.73
2011-06-17,20800.72
2011-06-19,22360.01
2011-06-20,33493.4
2011-06-21,22730.01
2011-06-22,21794.94
2011-06-23,24273.31
2011-06-24,8619.88
2011-06-26,6175.17
2011-06-27,16823.86
2011-06-28,34704.64
2011-06-29,21775.43
2011-06-30,43834.55
2011-07-01,13171.82
2011-07-03,5977.14
2011-07-04,44154.75
2011-07-05,40334.97
2011-07-06,26279.58
2011-07-07,31357.72
2011-07-08,26840.08
2011-07-10,5692.07
2011-07-11,22429.53
2011-07-12,25892.04
2011-07-13,11612.05
2011-07-14,32575.96
2011-07-15,14478.93
2011-07-17,17174.66
2011-07-18,28443.27
2011-07-19,49316.78
2011-07-20,27305.41
2011-07-21,30957.07
2011-07-22,20015.23
2011-07-24,26476.2
2011-07-25,26687.65
2011-07-26,21271.301
2011-07-27,25568.45
2011-07-28,55706.88
2011-07-29,18094.21
2011-07-31,33486.36
2011-08-01,21362.84
2011-08-02,14947.27
2011-08-03,27075.02
2011-08-04,61028.65
2011-08-05,21298.3
2011-08-07,7464.12
2011-08-08,19987.15
2011-08-09,26623.2
2011-08-10,27474.22
2011-08-11,72132.79
2011-08-12,10049.48
2011-08-14,5150.18
2011-08-15,17205.54
2011-08-16,19103.71
2011-08-17,49392.22
2011-08-18,53225.67
2011-08-19,17248.54
2011-08-21,14549.21
2011-08-22,27978.41
2011-08-23,25756.3
2011-08-24,37074.9
2011-08-25,22458.88
2011-08-26,25550.23
2011-08-28,10784.78
2011-08-30,31640.9
2011-08-31,16118
2011-09-01,37296.6
2011-09-02,41745.07
2011-09-04,17018.49
2011-09-05,36844.04
2011-09-06,28052.62
2011-09-07,34125.65
2011-09-08,26708
2011-09-09,29317.69
2011-09-11,35465.47
2011-09-12,29039.31
2011-09-13,54828.45
2011-09-14,23360.66
2011-09-15,62943.81
2011-09-16,25858.06
2011-09-18,15692.33
2011-09-19,46212.21
2011-09-20,109286.21
2011-09-21,42944.07
2011-09-22,57076.83
2011-09-23,39426.48
2011-09-25,31210.921
2011-09-26,28642.271
2011-09-27,35752.16
2011-09-28,43383.04
2011-09-29,43464.33
2011-09-30,43992.85
2011-10-02,11623.58
2011-10-03,64214.78
2011-10-04,48240.84
2011-10-05,75244.43
2011-10-06,55306.28
2011-10-07,47538.02
2011-10-09,11922.24
2011-10-10,44265.89
2011-10-11,38267.75
2011-10-12,29302.85
2011-10-13,37067.17
2011-10-14,35225.54
2011-10-16,21605.44
2011-10-17,47064.14
2011-10-18,44637.84
2011-10-19,36003.43
2011-10-20,60793.14
2011-10-21,62961.26
2011-10-23,12302.41
2011-10-24,38407.72
2011-10-25,40807.49
2011-10-26,37842.08
2011-10-27,47480.15
2011-10-28,39559.47
2011-10-30,34545.28
2011-10-31,48475.45
2011-11-01,28741.55
2011-11-02,45239.06
2011-11-03,62816.55
2011-11-04,60081.76
2011-11-06,42912.4
2011-11-07,70001.08
2011-11-08,56647.66
2011-11-09,62599.43
2011-11-10,68956.24
2011-11-11,54835.51
2011-11-13,33520.22
2011-11-14,112141.11
2011-11-15,60594.23
2011-11-16,64408.7
2011-11-17,60329.72
2011-11-18,48031.8
2011-11-20,34902.01
2011-11-21,48302.5
2011-11-22,62307.32
2011-11-23,78480.7
2011-11-24,48080.28
2011-11-25,50442.72
2011-11-27,20571.5
2011-11-28,55442.02
2011-11-29,72219.2
2011-11-30,59150.98
2011-12-01,51410.95
2011-12-02,57086.06
2011-12-04,24565.78
2011-12-05,57751.32
2011-12-06,54228.37
2011-12-07,75076.22
2011-12-08,81417.78
2011-12-09,32131.53
