,Date,Price
126,2011-05-13,30744.07
127,2011-05-15,9924.28
128,2011-05-16,25279.769999999997
129,2011-05-17,53603.83
130,2011-05-18,34337.29
131,2011-05-19,34348.75
132,2011-05-20,26256.519999999997
133,2011-05-22,24205.369999999995
134,2011-05-23,30739.55
135,2011-05-24,37028.91
136,2011-05-25,24152.28
137,2011-05-26,33208.59
138,2011-05-27,28232.190000000002
139,2011-05-29,7208.3
140,2011-05-31,21967.96
141,2011-06-01,20191.2
142,2011-06-02,32502.010000000002
143,2011-06-03,16751.0
144,2011-06-05,25520.35
145,2011-06-06,16791.39
146,2011-06-07,37644.3
147,2011-06-08,42940.91
148,2011-06-09,45515.75
149,2011-06-10,22540.66
150,2011-06-12,12483.86
151,2011-06-13,20372.93
152,2011-06-14,40211.93
153,2011-06-15,46139.18000000001
154,2011-06-16,34131.729999999996
155,2011-06-17,20800.72
156,2011-06-19,22360.01
157,2011-06-20,33493.4
158,2011-06-21,22730.010000000002
159,2011-06-22,21794.940000000002
160,2011-06-23,24273.309999999998
161,2011-06-24,8619.880000000001
162,2011-06-26,6175.17
163,2011-06-27,16823.86
164,2011-06-28,34704.64
165,2011-06-29,21775.43
166,2011-06-30,43834.55
167,2011-07-01,13171.82
168,2011-07-03,5977.139999999999
169,2011-07-04,44154.75
170,2011-07-05,40334.97
171,2011-07-06,26279.58
172,2011-07-07,31357.719999999998
173,2011-07-08,26840.079999999998
174,2011-07-10,5692.07
175,2011-07-11,22429.530000000002
176,2011-07-12,25892.04
177,2011-07-13,11612.049999999997
178,2011-07-14,32575.96
179,2011-07-15,14478.93
180,2011-07-17,17174.66
181,2011-07-18,28443.27
182,2011-07-19,49316.78
183,2011-07-20,27305.41
184,2011-07-21,30957.070000000003
185,2011-07-22,20015.230000000003
186,2011-07-24,26476.199999999997
187,2011-07-25,26687.649999999998
188,2011-07-26,21271.301
189,2011-07-27,25568.45
190,2011-07-28,55706.880000000005
191,2011-07-29,18094.21
192,2011-07-31,33486.36
193,2011-08-01,21362.84
194,2011-08-02,14947.269999999997
195,2011-08-03,27075.02
196,2011-08-04,61028.649999999994
197,2011-08-05,21298.3
198,2011-08-07,7464.119999999999
199,2011-08-08,19987.15
200,2011-08-09,26623.200000000004
201,2011-08-10,27474.219999999998
202,2011-08-11,72132.79000000001
203,2011-08-12,10049.480000000003
204,2011-08-14,5150.18
205,2011-08-15,17205.54
206,2011-08-16,19103.71
207,2011-08-17,49392.219999999994
208,2011-08-18,53225.67
209,2011-08-19,17248.54
210,2011-08-21,14549.21
211,2011-08-22,27978.409999999996
212,2011-08-23,25756.300000000003
213,2011-08-24,37074.9
214,2011-08-25,22458.879999999997
215,2011-08-26,25550.23
216,2011-08-28,10784.779999999999
217,2011-08-30,31640.899999999998
218,2011-08-31,16118.0
219,2011-09-01,37296.6
220,2011-09-02,41745.07
221,2011-09-04,17018.489999999998
222,2011-09-05,36844.03999999999
223,2011-09-06,28052.62
224,2011-09-07,34125.65
225,2011-09-08,26708.0
226,2011-09-09,29317.69
227,2011-09-11,35465.47
228,2011-09-12,29039.31
229,2011-09-13,54828.45
230,2011-09-14,23360.66
231,2011-09-15,62943.81
232,2011-09-16,25858.059999999998
233,2011-09-18,15692.330000000002
234,2011-09-19,46212.21000000001
235,2011-09-20,109286.20999999999
236,2011-09-21,42944.07
237,2011-09-22,57076.829999999994
238,2011-09-23,39426.48
239,2011-09-25,31210.920999999995
240,2011-09-26,28642.271
241,2011-09-27,35752.16
242,2011-09-28,43383.03999999999
243,2011-09-29,43464.33
244,2011-09-30,43992.85
245,2011-10-02,11623.58
246,2011-10-03,64214.780000000006
247,2011-10-04,48240.84
248,2011-10-05,75244.43
249,2011-10-06,55306.28
250,2011-10-07,47538.020000000004
251,2011-10-09,11922.240000000002
252,2011-10-10,44265.89
253,2011-10-11,38267.75
254,2011-10-12,29302.850000000002
255,2011-10-13,37067.17
256,2011-10-14,35225.53999999999
257,2011-10-16,21605.440000000002
258,2011-10-17,47064.14
259,2011-10-18,44637.840000000004
260,2011-10-19,36003.42999999999
261,2011-10-20,60793.14
262,2011-10-21,62961.259999999995
263,2011-10-23,12302.410000000002
264,2011-10-24,38407.72
265,2011-10-25,40807.490000000005
266,2011-10-26,37842.08
267,2011-10-27,47480.15
268,2011-10-28,39559.469999999994
269,2011-10-30,34545.28
270,2011-10-31,48475.45
271,2011-11-01,28741.550000000003
272,2011-11-02,45239.06
273,2011-11-03,62816.55
274,2011-11-04,60081.76
275,2011-11-06,42912.4
276,2011-11-07,70001.08
277,2011-11-08,56647.66
278,2011-11-09,62599.43000000001
279,2011-11-10,68956.23999999999
280,2011-11-11,54835.51
281,2011-11-13,33520.22
282,2011-11-14,112141.11
283,2011-11-15,60594.229999999996
284,2011-11-16,64408.7
285,2011-11-17,60329.72
286,2011-11-18,48031.799999999996
287,2011-11-20,34902.01
288,2011-11-21,48302.5
289,2011-11-22,62307.31999999999
290,2011-11-23,78480.7
291,2011-11-24,48080.28
292,2011-11-25,50442.72
293,2011-11-27,20571.5
294,2011-11-28,55442.020000000004
295,2011-11-29,72219.2
296,2011-11-30,59150.98
297,2011-12-01,51410.95
298,2011-12-02,57086.060000000005
299,2011-12-04,24565.78
300,2011-12-05,57751.32000000001
301,2011-12-06,54228.369999999995
302,2011-12-07,75076.22
303,2011-12-08,81417.78
304,2011-12-09,32131.529999999962
